segment,date_extract,income_statement,actual_month,forecast_month,budget_month,prev_year_month
CH,2021-09-01,External Revenues in LC,54.245000000000005,54.08921699999996,54.03822600000001,51.188886000000025
CH,2021-09-01,Other operating expenses,-1.2060000000000013,-1.4138330000000003,-1.3762279999999993,-0.923
CH,2021-09-01,Personnel expenses,-3.5700000000000003,-3.7543729999999975,-3.6792910000000028,-3.5749999999999993
CH,2021-09-01,EBITDA adjusted,1.7139999999999826,0.9917900000000088,1.5266619999999396,1.9748859999999944
CH,2021-09-01,Distribution expenses,-1.0969999999999995,-0.9392870000000002,-0.9318919999999995,-0.9420000000000002
CH,2021-09-01,EBIT,0.2390000000000001,-0.390659,0.2886599999999999,0.869886
CH,2021-09-01,Gross profit,7.660999999999994,7.805749000000006,8.072526999999944,7.052885999999994
CH,2021-09-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2021-09-01,External Revenues,54.245000000000005,54.08921699999996,54.03822600000001,51.188886000000025
CH,2021-09-01,Marketing expenses,-0.42200000000000015,-0.8628170000000006,-0.7380180000000003,-0.09799999999999986
CH,2021-09-01,Consolidated Revenues,53.928,54.08921699999996,54.03822600000001,51.188886000000025
CH,2021-09-01,Other operating income,0.3480000000000001,0.15635100000000013,0.17956400000000006,0.4600000000000002
CH,2021-09-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2021-09-01,EAT,-0.07900000000000063,-0.6205959999999999,-0.23417700000000075,0.43688599999999944
CH,2021-09-01,Adjustments Other operating income,0.0,0.0,0.0,0.0
CH,2021-09-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2021-09-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0
CH,2021-09-01,EBITDA reported,1.7140000000000004,0.99179,1.526662,1.9748859999999997
CH,2021-09-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2021-09-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0
CH,2021-10-01,EBITDA adjusted,1.0780000000000083,0.9048540000000287,1.2642730000000348,1.0851140000000115
CH,2021-10-01,Personnel expenses,-3.661999999999999,-3.6271780000000007,-3.6780219999999915,-3.3369999999999997
CH,2021-10-01,EBITDA reported,1.0779999999999994,0.9048540000000003,1.2642729999999993,1.0851140000000008
CH,2021-10-01,EBIT,-0.42500000000000004,-0.47659399999999985,0.025275000000000047,-0.09188600000000001
CH,2021-10-01,Adjustments integration,0.0,0.0,0.0,0.0
CH,2021-10-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0
CH,2021-10-01,Marketing expenses,-0.4980000000000002,-0.8585259999999995,-0.7280179999999996,-0.6280000000000001
CH,2021-10-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0
CH,2021-10-01,Other operating expenses,-1.0039999999999996,-1.3947120000000002,-1.3373040000000014,-1.5939999999999994
CH,2021-10-01,Adjustments M&A,0.0,0.0,0.0,0.0
CH,2021-10-01,External Revenues,49.682000000000016,51.014178000000015,51.20859399999995,51.686113999999975
